id,produto,valor_unitario,quantidade
675,Soup - Campbells Beef Strogonoff,27.09,45
676,Muffin - Banana Nut Individual,27.02,91
677,Cake - Cheese Cake 9 Inch,2.36,85
678,Chicken - Ground,8.39,32
679,Nantucket - Pomegranate Pear,6.05,1
680,"Water - Spring Water, 355 Ml",2.11,68
681,Mushrooms - Honey,36.66,52
682,Kale - Red,85.24,61
683,Pepper - Gypsy Pepper,42.76,41
684,Langers - Ruby Red Grapfruit,23.74,6
685,Sprouts - Pea,20.64,69
686,"Marsala - Sperone, Fine, D.o.c.",15.38,76
687,Veal - Heart,25.33,65
688,Spice - Montreal Steak Spice,90.06,80
689,Tomatoes - Grape,77.53,39
690,Sprouts - Bean,59.42,62
691,Bread - White Mini Epi,79.72,40
692,Noodles - Steamed Chow Mein,62.08,1
693,Lamb Rack - Ontario,97.56,54
694,Roe - White Fish,40.54,5
695,"Lamb - Whole, Frozen",66.99,74
696,Mace Ground,6.44,24
697,Lamb - Ground,83.13,40
698,Godiva White Chocolate,97.6,31
699,Oil - Macadamia,11.37,41
700,Bread Bowl Plain,52.57,44
701,Wine - Segura Viudas Aria Brut,80.23,8
702,Cookies Oatmeal Raisin,54.57,63
703,Beer - Labatt Blue,46.52,77
704,Truffle Shells - White Chocolate,86.19,29
705,V8 Pet,9.48,79
706,Truffle Cups - White Paper,22.61,23
707,Watercress,82.14,68
708,"Iced Tea - Lemon, 460 Ml",63.81,93
709,Pepper - Red Bell,51.62,70
710,Wine - Vineland Estate Semi - Dry,14.41,1
711,Lettuce - Escarole,94.46,60
712,Water - Evian 355 Ml,31.82,90
713,Pepper - Orange,25.13,28
714,Easy Off Oven Cleaner,95.7,97
715,Tuna - Yellowfin,53.3,39
716,Tomatillo,81.2,3
717,Wine - Tribal Sauvignon,94.58,68
718,Rice Paper,45.44,38
719,Langers - Ruby Red Grapfruit,76.49,50
720,"Arctic Char - Fresh, Whole",1.94,4
721,Cheese - Montery Jack,49.47,92
722,"Sugar - Brown, Individual",12.07,9
723,Potatoes - Peeled,87.45,72
724,Pie Shell - 9,8.71,26
725,Paper Towel Touchless,13.6,33
726,Buffalo - Tenderloin,30.15,38
727,Lettuce - Boston Bib - Organic,6.35,40
728,Water - Green Tea Refresher,32.12,29
729,Thyme - Fresh,40.53,60
730,"Chestnuts - Whole,canned",64.25,61
731,Waffle Stix,83.69,76
732,Sour Cream,91.11,39
733,Longos - Chicken Curried,36.22,94
734,Carbonated Water - Strawberry,96.73,49
735,Oranges,47.24,99
736,Chocolate - Dark Callets,59.39,100
737,Sobe - Cranberry Grapefruit,3.87,30
738,Nantuket Peach Orange,1.72,88
739,"Carrots - Mini, Stem On",42.41,23
740,Milk - 1%,46.06,80
741,Beef - Shank,61.56,8
742,Wasabi Powder,61.23,21
743,Cheese - Stilton,6.82,100
744,Cake Slab,51.96,35
745,Pastrami,7.09,30
746,Ecolab - Lime - A - Way 4/4 L,84.16,74
747,Vol Au Vents,29.83,69
748,Wine - Beaujolais Villages,12.98,75
749,Lamb - Ground,51.05,35
750,Pepper - Chili Powder,74.58,88
751,Bag Stand,82.77,61
752,Vinegar - Champagne,22.86,87
753,Shrimp - Black Tiger 13/15,89.72,2
754,Wine - Muscadet Sur Lie,67.17,61
755,The Pop Shoppe - Root Beer,7.87,59
756,Salmon - Fillets,62.99,59
757,Muffin Mix - Corn Harvest,27.28,45
758,Broccoli - Fresh,98.33,32
759,Sauce - Alfredo,72.5,58
760,Bread - Dark Rye,26.15,41
761,Chocolate - Dark,26.6,36
762,Cafe Royale,73.46,14
763,Calypso - Black Cherry Lemonade,33.64,82
764,Broccoli - Fresh,84.71,13
765,Creme De Cacao White,22.92,68
766,Kellogs All Bran Bars,50.14,49
767,Soup V8 Roasted Red Pepper,46.41,17
768,Corn Kernels - Frozen,79.83,98
769,Veal - Provimi Inside,14.11,51
770,"Roe - Lump Fish, Red",85.03,88
771,Pastrami,27.51,100
772,The Pop Shoppe Pinapple,92.19,14
773,"Zucchini - Mini, Green",65.46,6
774,Chinese Foods - Cantonese,96.98,79
775,Wine - Riesling Dr. Pauly,35.94,25
776,Syrup - Monin - Blue Curacao,87.64,9
777,Gelatine Powder,94.52,11
778,Lidsoupcont Rp12dn,94.12,40
779,Bagel - Whole White Sesame,62.97,33
780,Cattail Hearts,44.34,4
781,Lemon Pepper,63.17,98
782,"Doilies - 5, Paper",99.73,71
783,Cookies Almond Hazelnut,81.05,61
784,Carroway Seed,9.27,46
785,"Croissant, Raw - Mini",98.77,8
786,Icecream - Dibs,51.53,50
787,Alize Sunset,53.22,25
788,Cheese - Camembert,96.51,26
789,Nori Sea Weed,59.65,30
790,"Rum - White, Gg White",97.32,34
791,Seaweed Green Sheets,83.7,94
792,Ketchup - Tomato,20.19,28
793,Coffee - 10oz Cup 92961,39.96,47
794,"Bread - Roll, Italian",30.96,99
795,Cocoa Powder - Natural,52.69,71
796,Apple - Northern Spy,82.23,24
797,Dried Cranberries,86.99,32
798,Salt - Celery,82.44,51
799,Container - Clear 16 Oz,23.25,58
800,Coffee Caramel Biscotti,3.58,42
801,Flavouring Vanilla Artificial,10.3,100
802,Longos - Penne With Pesto,7.5,100
803,Quiche Assorted,2.95,42
804,Cotton Wet Mop 16 Oz,23.99,66
805,Trueblue - Blueberry 12x473ml,87.74,67
806,Hagen Daza - Dk Choocolate,33.59,27
807,Star Fruit,90.24,17
808,Alize Sunset,54.53,81
809,Shrimp - Black Tiger 16/20,56.38,58
810,"Beef - Rouladin, Sliced",89.17,64
811,Cleaner - Pine Sol,39.53,81
812,Grouper - Fresh,69.79,80
813,Chick Peas - Canned,55.79,56
814,Table Cloth 90x90 Colour,50.59,32
815,"Vermouth - Sweet, Cinzano",60.16,9
816,"Bar Mix - Pina Colada, 355 Ml",19.16,69
817,"Pork - Back, Short Cut, Boneless",32.22,52
818,Cheese - La Sauvagine,29.79,36
819,Lettuce - Spring Mix,20.8,48
820,Radish - Pickled,33.49,69
821,Chip - Potato Dill Pickle,57.46,47
822,"Water - Mineral, Natural",80.64,41
823,Onions - Red Pearl,51.49,90
824,Kahlua,71.74,44
825,"Wine - Red, Black Opal Shiraz",67.13,25
826,Sprouts - Peppercress,54.34,45
827,Wine - Two Oceans Sauvignon,34.11,84
828,Scallops - Live In Shell,9.12,93
829,Rolled Oats,82.47,57
830,"Soup - Knorr, Classic Can. Chili",23.07,43
831,Currants,36.54,80
832,Mints - Striped Red,32.34,93
833,"Wine - Red, Lurton Merlot De",8.67,18
834,Turnip - White,68.86,43
835,Vinegar - White Wine,67.13,21
836,Sugar - Brown,73.57,18
837,Bread - Bistro White,77.26,17
838,Chocolate - Dark,59.88,41
839,Ecolab Silver Fusion,80.86,36
840,Sauce - Ranch Dressing,82.86,6
841,Basil - Thai,5.0,95
842,Sausage - Blood Pudding,43.48,19
843,Duck - Fat,69.46,42
844,"Wine - Red, Gallo, Merlot",53.81,65
845,Maple Syrup,79.25,97
846,Soup - Campbells Broccoli,87.75,53
847,Sauce - Oyster,90.16,12
848,Compound - Raspberry,34.99,77
849,"Turkey - Breast, Boneless Sk On",92.59,82
850,Muffin Carrot - Individual,95.21,83
851,Cornflakes,56.54,29
852,"Coke - Diet, 355 Ml",85.84,56
853,Dehydrated Kelp Kombo,73.03,31
854,Chips Potato Reg 43g,58.56,80
855,Coriander - Seed,14.15,25
856,Gatorade - Xfactor Berry,69.08,90
857,Allspice - Jamaican,59.49,97
858,Pasta - Fusili Tri - Coloured,53.33,74
859,Cheese - Provolone,32.23,99
860,Kale - Red,81.19,97
861,Soup - Campbells Chili,11.21,85
862,Wine - Rubyport,2.83,44
863,Taro Leaves,16.89,47
864,Shrimp - Black Tiger 16/20,41.75,78
865,"Cheese - Mozzarella, Buffalo",9.43,89
866,"Beef - Bones, Marrow",24.76,24
867,"Basil - Primerba, Paste",64.58,68
868,Spice - Montreal Steak Spice,54.91,61
869,Soup - Campbells Beef Noodle,22.05,76
870,"Wine - Red, Metus Rose",41.87,76
871,Rabbit - Frozen,32.82,50
872,Rabbit - Frozen,40.33,76
873,Aromat Spice / Seasoning,15.28,36
874,Barley - Pearl,14.63,20
875,Flour - Bread,6.65,68
876,Eel - Smoked,19.05,76
877,"Tray - Foam, Square 4 - S",10.42,97
878,"Pasta - Lasagna Noodle, Frozen",53.43,69
879,"Beef - Ox Tongue, Pickled",53.84,14
880,Milk - Buttermilk,52.88,71
881,Edible Flower - Mixed,96.93,8
882,Guava,14.28,61
883,Beef - Flank Steak,31.65,28
884,"Cheese - Mozzarella, Buffalo",72.83,96
885,Cheese - Feta,94.78,24
886,Hersey Shakes,24.97,55
887,"Yeast - Fresh, Fleischman",57.12,2
888,"Chicken - Wings, Tip Off",55.65,44
889,Corn - Mini,27.58,98
890,Chef Hat 25cm,7.63,55
891,Wine - Tribal Sauvignon,6.2,78
892,Wine - Riesling Alsace Ac 2001,25.35,63
893,"Nut - Hazelnut, Whole",23.83,87
894,Bananas,22.44,76
895,Soup - Campbells,72.24,86
896,Cookie Dough - Oatmeal Rasin,37.07,67
897,Bread - Calabrese Baguette,88.77,30
898,Lettuce - Iceberg,67.15,58
899,"Oil - Olive, Extra Virgin",22.07,9
900,Snapple Lemon Tea,25.01,16
901,Beer - Pilsner Urquell,66.19,46
902,"Cake Circle, Foil, Scallop",46.65,19
903,Crab Brie In Phyllo,23.67,88
904,"Salmon - Atlantic, Skin On",58.53,23
905,Wine - Beaujolais Villages,13.4,91
906,Mustard - Dijon,42.3,49
907,Coffee - Cafe Moreno,40.9,20
908,Chicken - Base,64.4,55
909,"Coffee - Colombian, Portioned",2.17,2
910,Mayonnaise - Individual Pkg,39.61,73
911,Curry Paste - Madras,47.31,43
912,Apricots - Halves,82.12,17
913,Goulash Seasoning,95.09,62
914,Soup - Cream Of Potato / Leek,74.3,43
915,Cheese - Brie Roitelet,59.33,7
916,Muffin - Mix - Mango Sour Cherry,3.78,38
917,Wine - Conde De Valdemar,31.24,97
918,Filling - Mince Meat,56.28,1
919,Cabbage - Nappa,85.9,75
920,Water - Spring Water 500ml,75.83,26
921,Pears - Bartlett,14.26,79
922,Parasol Pick Stir Stick,79.4,48
923,Chip - Potato Dill Pickle,26.8,64
924,Chips - Assorted,6.41,46
925,Sprouts - Alfalfa,52.7,94
926,Chick Peas - Canned,75.61,99
927,Sobe - Liz Blizz,73.49,92
928,"Beef - Rib Roast, Cap On",12.4,67
929,Lotus Rootlets - Canned,30.38,30
930,Energy Drink,46.48,28
931,Lemon Grass,43.29,68
932,Juice - Prune,86.63,81
933,Cattail Hearts,26.73,99
934,"Beef - Kindney, Whole",81.04,75
935,Flour - Strong Pizza,4.52,15
936,Wine - Hardys Bankside Shiraz,8.43,9
937,"Pork - Bacon, Sliced",55.26,93
938,Pastry - Baked Scones - Mini,34.05,28
939,Bar Special K,18.19,36
940,"Juice - Apple, 341 Ml",87.01,37
941,Mix Pina Colada,31.4,43
942,Roe - White Fish,17.35,38
943,Towels - Paper / Kraft,18.37,24
944,"Cup - 6oz, Foam",53.4,43
945,Tomatoes - Grape,79.74,79
946,Sambuca Cream,37.18,27
947,"Rice Pilaf, Dry,package",63.35,57
948,Kumquat,18.19,100
949,Wine - Shiraz South Eastern,16.2,65
950,Wine - Fat Bastard Merlot,11.75,38
951,Cucumber - English,66.63,83
952,"Hickory Smoke, Liquid",21.87,69
953,Beef - Short Loin,90.48,27
954,Spice - Onion Powder Granulated,52.15,82
955,Bread - Crusty Italian Poly,56.15,73
956,Arizona - Plum Green Tea,10.17,18
957,"Pasta - Lasagne, Fresh",65.2,95
958,Pears - Bosc,99.81,65
959,Nut - Pumpkin Seeds,98.05,94
960,Rye Special Old,63.22,49
961,Coffee - Egg Nog Capuccino,96.64,31
962,Horseradish Root,82.14,31
963,Star Fruit,70.27,96
964,Mushrooms - Honey,59.94,26
965,Quail - Jumbo,89.84,3
966,Chick Peas - Canned,33.2,12
967,"Fish - Soup Base, Bouillon",61.49,35
968,Roe - White Fish,23.18,82
969,Lettuce - Baby Salad Greens,60.95,74
970,Pork - Caul Fat,55.83,52
971,"Wine - Magnotta, White",31.79,53
972,Broom - Angled,20.67,3
973,The Pop Shoppe - Lime Rickey,41.79,40
974,"Gingerale - Schweppes, 355 Ml",30.33,61
975,Danishes - Mini Cheese,97.61,37
976,"Jam - Marmalade, Orange",39.8,36
977,Pike - Frozen Fillet,29.12,2
978,"Beef - Ox Tongue, Pickled",96.33,39
979,Wine - Charddonnay Errazuriz,18.35,15
980,Wine - Semi Dry Riesling Vineland,14.43,73
981,"Iced Tea - Lemon, 340ml",48.12,68
982,Table Cloth - 53x69 Colour,13.06,67
983,Beef - Top Sirloin,39.55,44
984,"Juice - Clamato, 341 Ml",55.61,74
985,Pork - Belly Fresh,25.2,6
986,Clementine,3.46,18
987,Beer - Muskoka Cream Ale,99.73,44
988,Cheese - Shred Cheddar / Mozza,80.43,97
989,"Pepper - Black, Whole",25.39,86
990,Pork - European Side Bacon,26.78,75
991,Beef - Cow Feet Split,62.5,21
992,Five Alive Citrus,94.07,27
993,Appetizer - Asian Shrimp Roll,12.63,71
994,"Wine - Sherry Dry Sack, William",11.25,79
995,"Shrimp - Baby, Cold Water",58.57,93
996,Pernod,18.52,4
997,Beets - Mini Golden,83.78,70
998,Rolled Oats,87.37,46
999,Wine - Cave Springs Dry Riesling,53.69,100
1000,Cake - Mini Potato Pancake,91.22,11
